reviewId;review
14144;Recently I had to fly round trip from Phoenix to Los Angeles. I have flown America West before and have had a few delays before but nothing like what I just experienced. No one should ever fly this airline again until they get their act together. On the flight out I checked in at the gate and asked if my luggage could be checked through to my final destination since I had to change airlines in Los Angeles. I was told that I could not. Later I found out I could have but it didn't matter anyway since my luggage didn't arrive in Los Angeles to begin with. The real nightmare began at the gate(s). A few minutes before boarding was to begin they announced a gate change to another concourse. Once at the new gate we were informed of another gate change, than another and then another back to the first concourse. Once there we were told the flight was canceled and that we were to go back to the other concourse again to try and get on another flight. Needless to say tempers were high amongst the passengers and the gate personnel were no help at all. They must be bullet proof to customer aggravation and complaints due to so many canceled flights. Of course the next flight was delayed also by about an hour. With all the gate changes and the canceled flight I was not the only one whose luggage did not arrive in Los Angeles. I put in a claim and they found it even though it took them three days to have it delivered to me. My return flight went a little smoother, we only had two delays but then after boarding we sat in the plane 30 minutes before taking off. When passengers asked about compensation for all the hassles and delays they were told nothing would be done. I have been waiting for five weeks now to be reimbursed for the clothing I had to buy while my luggage was missing. Needless to say, I won't be flying this airline again anytime in the future. The funniest part of the ordeal was when a passenger started passing around a newspaper that had America West ranked last in on time flights around the plane. Everyone got a chuckle out of that.
21578;My most recent experience with America West has left a bad taste in my mouth for this Airline. I know that some delays are sometimes inevitable. However, when it becomes the way that an airline does business, it leaves a lot to be desired. I had four segments to my round trip and 3 of those legs were late. This tells me that 75% of the time this airline is either late or does not fulfill its agreement with it's customers. During my trip, I spoke with several customers and the majority seems to have the same experience and opinion that I have. The airline schedules flights that possibly conflict with their capability of getting to the destinations on time and it would seem that all flights in the western part of the US and the international flights have to land in Phoenix, Az. Why can't this airline have more direct nonstop flights from points of origin to final destination. Additionally, the personnel at some of the ticket counters and at the gates seem to have a bad attitude towards the client. Don't they realize that it is the customer who pays their salaries? I cannot totally condemn all of the personnel as I did encounter two of about ten that were quite friendly and helpful. My biggest beef is with the scheduling and the inability of the airline to stay on time. 3 of the 4 segments of my round trip were delayed. I understand that sometimes this is inevitable. However, with America West, this seems to be the way of doing business. This seems to be true both domestically and internationally.
24523;I was ecstatic when I found round trip from San Jose to Baltimore on America West for $220 to go and visit one of my college friends. It was a great deal and boyfriend and I immediately booked it. Upon arrival at the airport for our red-eye, we found we were already an hour delayed. We had a connection in Las Vegas and I knew it would be tight. The plane arrived, the other passengers deplaned, and they loaded everyone as fast as they could and we were on our way. Since it was a late flight (9:40pm) we were already tired and were annoyed at the delay. We arrived in Las Vegas at 11:30pm, and our connection was 11:39pm. We ran to the waiting gate agent who informed us the doors had just closed for our connecting Baltimore flight. She told us we were being re-routed through Columbus, Ohio and what gate to proceed to. Great, we thought, another stop in the middle of the night is just what we need. I can compliment America West for one thing - upon arrival at our new gate, our arrangements had already been made and we just needed seat assignments. The agent was calm and helpful and gave us seating together in the front, where I prefer. Despite the long line behind us of people who needed to be re-routed, she kept her sense of humor and did not get 'snippy' as some ticketing agents tend to get (we've all experienced it!). Well we had another hour or so to wait for our flight. By now its midnight, and after working all day, boyfriend and I were exhausted. We got on our Columbus flight, which was again delayed a half hour, and at 1:30am, we were on our way. We arrived in Columbus and had a few hours to wait. It was 4am for us, and we were overtired. Now, I normally prefer red-eyes when heading back east. You don't lose a day and normally, you can get a decent night's sleep, if there is no change in travel plans. Since we had an extra stop and were delayed, I was very tired and not happy to be in Columbus, Ohio to wait for our puddle jumper to take us to Baltimore. Finally, we boarded that one (it was actually on time!) and arrived in Baltimore an hour later. We enjoyed our brief vacation and arrived at the Baltimore airport Monday morning for our flight at 10:30am. My friend's husband also had a flight a little earlier, so we just went to the airport with him. Upon arrival, we found out our flight was already 2 hours delayed. Yippee!! 3 hours to spend in an airport. Right then and there, I decided this would be my last cross country flight with this airline. I can understand having delays at the end of the day, when everything has been backed up all day. But this being the first flight out, I was really annoyed to have to wait an extra 2 hours. The pleasant ticket agent already had our connection rebooked in Phoenix and we needed seat assignments. She gave us seats in the front, which I was glad were still available. 2 hours later and everyone boards. It was a larger plane and everything was tight. What the ticket agent didn't tell us was that our seats didn't recline. I don't like that. I think the agent should tell you if you are in front of an exit row (which we were) and that your seat will not recline. I would have sat more towards the back to have a reclining seat. Well, doors shut and there is a mechanical malfunction. Collective groan from all on the passengers the plane, and the flight attendant let in a mechanic. Luckily, it was only a burnt out light bulb, so 20 more minutes and we were on our way. The flight was ok, and to compensate for the delay, they gave out the headsets for free and complimentary beverages (alcoholic) which I thought was adequate. I have been on many delayed flights and very rarely do they hand over those $5 headset rentals for free. Our connection in Phoenix was smooth and we arrived back in San Jose 3 hours after our original arrival time was set for. I will only take America West for short flights, such as Las Vegas or Los Angeles, from here on out. I would rather spend the extra $40 for another airline and not have my travel plans so severely altered. All agents were pleasant and helpful, which does help, but for cross country trips, no more business from me for America West.
24581;My friends call this airline America's Worst. Still, it was the cheapest way to fly from Austin to Phoenix. So, I packed my bags and braced for the worst. Surprisingly enough, it was not too bad. The flight to Phoenix left on time, and arrived on time. The beverage service was good (only served Pepsi products), flight attendants were very friendly. However, the seats left me feeling like a sardine. I had a window seat, which I now know was a mistake. The flight was not all that crowded, there was an empty seat between me and the other person in my row. I still felt like a sardine. There was not much feet space. Try riding in the back seat of a Mitsubishi Eclipse, you will get the same feeling. My flight back to Austin was cancelled due to icy conditions in Austin. Since the person I was visiting made the reservations, they had the number where I was staying and called to let me know. I really appreciated the effort, as I probably would not have bothered to call the airport to check on my flight. They gave me info on the next available flight which was the next day, and instructed me to call the airport the next morning to make sure the flight had not been cancelled. The return flight was overbooked by 10-15 people. I had thought that a NEW flight was scheduled, but evidently, this was not the case. The airline offered a $300 travel voucher good on a future flight to anyone who volunteered to give up their seat. I volunteered. The next flight out was only 3 hours later, and I already would not have been able to make it to work. It was well worth it to me. Apparently, it was worth it to other people as well. I only saw one person who was very unhappy. He was griping about not getting a seat in first class. Apparently, he didn't want to be a sardine. The return flight was actually a little better. The plane was full, but the seats were a tad wider and there was more leg room. It also helped that I got an aisle seat. This flight also left on time and arrived on time. I will fly this airline again. The prices on their flights are very reasonable. The staff was very helpful. I was even pleased with the way they handled my cancelled flight and the over booked flight.
29297;I have seen the low ratings of America West on epinions and I just want to throw in my two cents worth. I have flown this airline 3 times and have yet to receive any really bad service. Everyone seems to want to complain about the airlines, but let's face it they are in the commodity business, which is highly competitive. I have driven 250 miles to fly by this airline, only because the closest airport that they fly out of relative to where I live is Atlanta. Even driving this distance, I was able to save over $200 on my destination. My flights have always arrived on time, my luggage has always been at the baggage claim area in good condition, and I have never been harassed by any of the employees. If some people complain about the customer service staff, I believe that it is due to people wanting to be treated like royalty and pampered. Get a clue folks, you picked this airline because it was cheap, and cheap airlines tend to hire staff that works cheap! You might be surly too if you had to hear the many complaints that whiners make, if you worked long hours for little pay. If you have complaints about the food, well tough! Airline food is not supposed to be good, it never has been good, and it never will be good. Most airlines contract out this function to Dobbs House, so if you have a complaint about the food, tell it to them. If I had my way, I would just do away with food service on most flights anyway, as you generally are not in the air long enough to make much of a difference. Their frequent flyer miles program allowed me to earn enough miles after just two flights to Las Vegas. This is the quickest that I have ever earned free travel on any airlines frequent flyer program. It did have some drawbacks, in that the miles expired with in two years, and that they issued certificates for every 5,000 miles, but they have recently changed that program to where they don't expire and you don't have to wait for certificates in the mail. The seating of the aircraft is no better or worse than any other major carrier, as they are all generally use the same aircraft, so you can bet that they will cram every vacant space with a cramped seat. If I have to ride that big bus in the sky, the airline with the lowest fare generally wins, because once in the air, there really is no difference from the view from my seat.
33313;I have flown America West three times on short trips. I have mixed emotions concerning the airline. America West saved me twenty per cent on the fare. The clerks and flight crew were courteous and acted in a professional manner. The flights kept close to the schedule(no long delays). I feel that some things could be improved. The baggage handlers could take more care. Some of the passengers were rushed in the consumption of there drinks and snacks. Better use of time by the crew could have avoided this. The crew allowed some oversized bags to be carried on by some of the passengers. This caused some delay and inconvenience to some passengers. My biggest complaint is the lack of seating space. A little more room would add more enjoyment to any flight. Over all I would give America West Airlines a B- or C+ rating. I do recommend flying on America West on short trips because of the lower fares. HAPPY TRAVELING!!!-------Chief
40703;"This Thanksgiving, I flew to Phoenix, AZ, their main hub, to visit some family. The cheapest fare was with America West, with a nonstop flight from Austin, TX. Checking-in: ""Leaving Austin"" ; America West had self check-in, that was quick and efficient. Employees were there to assist with any problems. I plugged in my confirmation number, and was done in about 3 minutes. It was fast and easy, and compared to my continental experience, my mom wasn't hit on. ""Leaving Phoenix"" ; This was also a quick experience, and the long lines went fast. There was many self check-in machines, and very easy to operate. Employees were quick to help, and courtesy with a smile. Consistent. Boarding: Leaving Austin, as well as returning, the boarding process happened very quickly. We boarded by window , middle and aisle seats. Employees at the gate were also very kind, and very welcoming. Quick and easy, with no problems. Consistent. Flight Attendants/Service: ""Leaving Austin"" ; The flight Attendants were not very welcoming when we boarded the plane, although quickly attending to first class. Throughout the flight, they served beverages with a smile, and were always checking up throughout coach. They were also very professional. ""Leaving Phoenix"" ; The flight Attendants were o.k. in greeting passengers, once again tending to the first class. The flight Attendants were old, and seemed less tolerant for a refill or an extra napkin. Overall they were professional, and checked on passengers throughout coach. Fairly consistent. Dining/soft drinks, snacks: ""Leaving Austin"" ; The flight Attendants served soft drinks, and gave the passengers the can. Alcohol was also available for purchase. We got 2 bags of pretzels for a snack, which actually was good and had a ""good amount"" of pretzels in each bag. ""Leaving Phoenix"" ; Beverages were served, but this time with no can, and we only got 1 bag of pretzels. Maybe on the first flight they just felt an extra rush, and through the extra bag of pretzels to make it interesting, but it was way different then the dining on the first flight. Inconsistent. Airplanes interior condition: On both flight the planes looked and smelt clean. Also, pillows were on each seat, and blankets were clean. Tray tables were clean, and their was no trash in the compartment in front of me. Although the in-flight magazine was torn, and not available at every seat. Luxury of seats/Comfort: ""Leaving Austin"" ; America West's seats were decent, and comfortable. BUT THEIR WAS NO AIR VENTS TO PUT AIR ON EACH INDIVIDUAL PASSENGER. What is going on with that? The only air that i felt circulating was angeled to the ceiling of the aircraft. Talk about hot, hot, hot. Very hot in beginning, but slowly throughout the flight it began to get cooler. I couldn't of slept even if i was tired. ""Leaving Phoenix"" ; NOT MUCH DIFFERENT! I thought i was either going to have a stroke from heat, or sweat the whole flight. I was hoping, maybe it was just that aircraft, but again no individual air vents. Both flights had 737-300's. Seats were o.k., but felt uncomfortable because of the temperature on the aircraft, and there was decent legroom. Consistent. NOT A GOOD THING! Turbulence/pilot communication: ""Leaving Austin"" ; The pilots were communicating throughout the flight about things in each state as we were passing them. They were funny at times, and made you feel welcome, and cared for. They also warned passengers when it was getting a little bumpy. ""Leaving Phoenix"" ; This flight, the pilots didn't communicate to passengers but to the flight attendants. It goes to show that every pilot is different, but when they communicate, it makes the flight that much better. They put on fasten seat belt sign when bumpy. Inconsistent. Other things: Buying the tickets: On-line purchase is easy and quick. Fares were excellent. Customer Service: Employees were nice and professional and assisted with any needs. Both flights were on-time, and the luggage was not lost or damaged."
45457;"I've probably flown on America West about 10-15 times over the last several years, and those flights were from Las Vegas to Seattle, Phoenix, and Chicago. Now, the primary reason why I flew with America West was because of their low prices. However, I'd much rather fly on United or Alaska Airlines if I have some extra $$$. Why? Well, most airlines tend to overbook their flights a little because they know that they are going to have some &quot;no-shows&quot; at the time of departure. However, it seems as if America West more than overbooks their flights because on several occasions in Las Vegas and in Phoenix that I've seen them struggling to find volunteers to wait for other flights and etc. To go along with that, I can't remember the last time that there wasn't a long line at the ticket counter or the gate for an America West flight. Especially if you plan on departing from Las Vegas on America West.....don't go to the ticket counter, it's usually packed. You'll have a better chance at the gate (and checking in at the gate is a lot better than checking in at the gate with Southwest Airlines). Lastly, when was the last time that you had a flight that went out on time? I admit that quite a few airlines need help in this area, but I have YET to go on an America West flight that was on time. In the end, while America West does have some pretty affordable rates, they do have some serious problems. I guess it all depends on what you can afford."
47056;OK It was so bad I don't even want to write about it in detail. 1. I expect to be boarded when the plan is ready to leave, call me crazy. What I don't expect is to be seated, then fried on a Phoenix runway while big, hairy, sweaty men with their booty cracks showing try to fix replace the radio up front. 2. I expect a modicum of cleanliness. What I don't expect is for the cleaning people to start AFTER I've been siting there, in my seat, for 10 minutes. To make matters worse, you know that blue flushing liquid that they use to sanitize the toilet? Well one lady comes from the front of the plane all the way to the back carrying this big bucket of that blue stuff and sloshing it everywhere. That's just gross. [ok I laughed a little myself here] 3. I expect the appropriate comforts and basic necessities. I don't expect bruises and bladder infections (ok so a little creative embellishment re: the infection part). Apparently only 1 lavatory was functional the entire flight and the line was SO long that they just rammed about 90 pairs of legs trying to get the drink cart through. That's not very nice. So this one #$%$@, let's just say very mean lady, came though with her cart-of-leg-torture and as she was hurriedly slinging these bottles of soda water around, forgot to re-screw the cap, and since it was mostly empty, proceeded to spray the 3 rows ahead of me with a stream of cheap, lukewarm, gassy water. After all that I was still charged a $75 change fee from some guy on the phone who only had to press buttons on his computer for a total of about 90 seconds. Well now that that's over, how was your day?!
47465;"You know, it had to be too good to be true.... It's an old story, really. Girl misses family, girl decides to fly home to see family, girl searches internet for cheap tickets......girl gets screwed! Ok, so I put it a little bluntly, forgive me, but it's true. America West had the cheapest tickets from Detroit Metro to Portland International, and because I'm on a budget I went with the cheapest. All was going well, and vacation was going as planned. Girl was VERY excited! Unfortunately tragedy struck and girl had to cancel vacation. Girl was bummed. Girl calls airline and is told that she has one year from the date of reservation to make new ones. There will also be a $75.00 fee. Girl accepts this and thinks she is lucky. Months pass and girl gets lonesome for home again. Girl calls up America West only to be told that it will cost her an extra 500$ to fly..per person. Girl is upset. Girl logs onto internet and finds a ticket the same price as her original. Girl calls airline again with flight numbers and details of what she sees on her screen. AW Rep tells her &quot;no.&quot; Girl wants to talk to supervisor who also tells her that she is out of luck. Girl finds another company and makes complaint with BBB. Girl is still angry 6 months later..."
47586;"When I lived in Phoenix 5 years ago, I had no problems with travel on America West. Boy, have times changed! I guess my first clue should have been my printed itinerary which said &quot;20% on time&quot;. I thought it was a joke, but I would soon discover that the joke was on me. On a recent trip to Las Vegas, I had to fly from Fort Lauderdale, Florida. America West had the only non-stop flight. My husband had a convention from Monday thru Wednesday, so we decided to go out on Sunday morning to arrive in Las Vegas by 10am. I was excited to have at least one full day together to enjoy the sights. Upon checking into the gate, we were told the flight was delayed for 30 minutes. Then, the voice of doom came over the speaker to say the delay was 2hrs. I am trying to remain calm at this point figuring we would still get in at a decent time and have the afternoon and evening together. After 5 hours of delays and numerous frustrations, the flight was cancelled and borrowing from Pulp Fiction: I was a race car in the red! The staff of America West kept walking off while passengers were in the middle of a sentence and they all seemed to be very oblivious to the frustrations of those on the flight. One gentleman waiting with us said it was the third time he booked this very flight and not once had it ever left Fort Lauderdale. While standing in a very long line to find another flight out, several other people were relaying the same story: Booked this very flight only to have it cancelled after several hours of delays. At long last we were finally crammed onto a flight to Houston but we had to sit apart from one another. Once in Houston we caught a plane to Vegas only to arrive at 7pm in the evening. My whole romantic day with my husband was a bust! But from that point on, the stay at the Venetian Resort(Please read my review) made me completely forget my horror with America West. Being a frequent flyer, I was completely floored by this terrible experience. It was one of the worst I have ever had and I cannot recommend this airline to anyone flying from the East Coast."
