"reviewId,""review""";;;;;;;;;;;;;;
"35029,""When Pokemon Snap 1st came out I was very excited. I am an admitted Pokemaniac. I love all the Pokemon games they had come out with so far, and was looking forward to hours of fun play with the new game. The game is very well done graphic wise, the Pokemon are well placed in the game and there is a lot to look for, Some if the funniest pictures we took were goof-ups but they really made us laugh. There are some specific pictures to look for and special shot poses to get, but there is one real major problem I had with the design of the game... NOT ALL THE POKEMON ARE THERE!!!!! This really disappointed me in no small way. There are only about 60 Pokemon if I recall correctly. There are supposed to be 150 total and then some with the release of the new games coming up. What is with Nintendo releasing a game with only 60 Pokemon ? It led me to believe the game was not planned out well and rushed through. Don't get me wrong. I love the game play and the challenge of getting the best shots and the high score... it just seems as if the game is just not finished. The album feature on the game is nice to have to save pictures in and come up with funny captions for them. We never used the Blockbuster machine to print the pictures we took, but that might have been funny to have around. The nice thing about the game was it is fun and challenging for both kids and adults to play.""";;;;;;;;;;;;;;
"38916,""Kids keep getting ripped off with Pokemon and if you bought this game you were ripped off.Let me first say that I beat this game in less than an hour and even most 7 year olds can beat this game in an hour and every pokemon is not in this game. Now I have notting against Pokemon I acctually like Pokemon blue even though I beat that game in less than a week and Pokemon Trading Card Game is a cool game but come on this game is horrible. Pokemon Snap has great graphics and control is good but theres not much sound effects and music. If your a big pokemon fan and dont own a gameboy buy Pokemon statium but whatever you do dont buy this game.""";;;;;;;;;;;;;;
"50556,""The newest game out there. There was not another game like it ever made in gaming history! The point of the game is to catch all the Pokemon on film. There are a total of six level in the hole game. But the levels are kind long so don't thing you are just going to start the game and finish a half hour later. You try to center, get close to it and try to have more then one in the picture at a time. And if you have all of that you will get a high score for one picture. And you get a roll of film (it has sixty pictures on it), a camera, and you get other thing as you go along. Like the pokaflute, Pokemon food, and pester balls. In the game you will be able to see the Pokemon fight and evolve right before your eye. And if you put your Pokemon on to a memory pack take it to BlockBuster Video and you will be able to print out sticker in 3-D of your best and favorite. And if you have a DexDrive you will be able to trade your Pokemon picture over the internet. It is only a one player game and no exp. pak but you will need a memory pak. Sound: The sound in the game (like all Pokemon games) is OK. It is clear in all but it just isn't music that we like. I think if anything in the game could be better it would have to be the sound. But you will hear the Pokemon talk to each other and like wild bird sounds and bubuling sound in the lava starge. I give the sound a 6.6 out of ten Control: Control is really good. I think that a think you need a game would be control. You can look around the Zero-One using the C- button. To use Pokemon food or any other items you use A and B. To take a picture you use the Z button. The D-Pad is use as the joy stick. The joy stick will move the camera not your body. I would give the control a 8.7 out of ten.""";;;;;;;;;;;;;;
"56623,""This game is actually pretty fun- for the first time around. It's a simple concept, take pictures of Pokemon. The thing is, you have to have strategy. Hit the Pokemon with apples to make them stike a pose, find hidden routes to catch elusive Pokemon"; nevertheless, it is very, very simple. It is the sort of game a 6-year-old could beat- but it takes a bit more to master it. When I say &quot;master it&quot;", I mean to snap every Pokemon on the game. This game decided not to put all the Pokemon in there (they only have about 65), instead to use that space for graphics. This was a good and bad decision. The shortness of the game leaves much to desire, and the game is fun until you beat it. So they should have included just a bit more, like 100. But, they did do good on the graphics. The Pokemon are detailed to the pixel. It really looks great. You can't beat them. It's still not worth the loss of levels. So buy this if you or the person receiving it is a complete Pokemaniac or under eight. Thats pretty much, I guess, what Nintendo aimed this game toward.""";;;;;;;;;;;
"65877,""I tend to agree that Pokemon Snap is an easy game to learn. Perhaps it is not a good investment as a game, but there is more to it than just a game. What it really does is teaching basic photography to children and this is valuable. While taking picutures of Pokemons the game rates your photos depending on how well your subject is framed, the proportional size of subject, the pose of subject when framed, etc. Scores are based on how well pictures are taken, and your challenge is to take better and better pictures one after another. I don't play games, but I am all for my eleven years old son playing this game as it really promotes his interest in photography. I tried to get him interested in photography that turned out to be very expensive hobby especially when the outcome is so poor... I found out the least expensive way to let a child practice taking pictures was to use a digital camera if you already own one (not so cheap if you have to buy one). My son using my digital camera alone did not improve his skill though. It was when he started to play Pokemon Snap that he became a good photographer for his age! Once he got interested in photography, he started to like Pokemon Snap more than ever. The game truly improved his ability to frame each subject...not too small, not cut, and centered. If you are looking for an educational game (for photography) for kids, I think this is perfect... I could not have taught my kid any better.... If you are looking for action games, perhaps this is not it. I hope Pokemon Snap &quot";2&quot;" comes out to teach advanced photography such as lighting, focusing, and shutter speed. Then it will be a perfect game for adults too.""";;;;;;;;;;;;
"80128,""Pokmon Snap has gotten a royal drubbing from a lot of my little brother's Pokmaniac friends. Their main complaint: there's no fighting. Fighting, as the media has no doubt made clear to you by this point, is the raison d'etre of Pokmon. I don't have that complaint, approaching the game as a disinterested observer of the Pokmon phenomenon. My personal feeling toward the existing games is that they were lengthy, but dull - just fight after fight after endless fight - that ruined the appeal of the hundreds of Pokmon, the endless variety of interestingly named and wildly imaginatively designed animal-monsters. So, we come to Pokmon Snap, which if anything is, in a way, the antithesis of the original Pokmon games for the Game Boy"; it's fairly short (as compared to the epic Game Boy play sessions needed to collect the legendary 150) and extremely nonviolent. The most violent this game ever gets is watching a Meowth get beaten up by a flock of Pidgeotto, or occasionally getting to bean a random Pokmon with an apple (oh, excuse me, &quot;Pokmon food&quot;). The game itself is quite simple: you are Snap, an aspiring photojournalist who wants to make a name for himself by photographing Pokmon. Professor Oak, who is the head honcho guru fellow in the Pokmon universe, has designed a little jetcart which will take you through the Pokmon preserve so you can take pictures. And that's really about it... Well, no, there's more to it than that. Your pictures are graded and awarded points by three factors - the &quot;size&quot; (actually proximity) of the Pokmon within the picture, the &quot;pose&quot; of the monster, IE, how dramatic it is (note: Professor Oak has no use for pictures of the backs of Pokmon), and how many of the species are within the picture (a bonus multiplier). It's actually a fairly close parallel to how well pictures are judged in the real world of photojournalism. The game is made both less realistic and more challenging by the setting of your jetcart on a predetermined course through the preserve. It means players can't go up and linger around trying to get a really, really good picture of that Pikachu - they have to time their shots and learn the skill of snapping six or seven pictures in a row, in the hopes that one will be good - again, fairly close to real photojournalism. The controls are simple: a &quot;zoom&quot;" button keeps the player from snapping pictures by accident, and when Professor Oak gives you handy items to influence Pokmon from afar, the button placement isn't awkward. The game really makes good use of the analog stick as your main control. New levels are gained by two methods: either Professor Oak awards them to you depending on how you many points you have or Pokmon you've photographed, or you find them yourself by activating secret levels. The secret levels are all fairly obvious. Now, to the main good and bad points of the game, as everything else is fairly rudimentary. First, the good: this game is gorgeous. An incredible level of attention was given to making sure each individual Pokmon behaves in a unique way, from celebrating their garnering food to what happens when you hit them with an apple (an unintentional subgame, so far as I'm concerned). The feeling that you're actually on a Jeep, photographing wildlife - albeit warped Japanese anime wildlife - is pervasive and believable. The bad is simple: the game is far too short. I was practically finished the game in six hours - younger players might have more difficulty, but i doubt they'd have much more than I did. Worse, there's no replay value worth speaking of, other than the hit-them-all-with-apples game I mentioned - which wasn't intended as part of gameplay, and isn't that challenging or interesting as a game anyway. In the end, the game is quite entertaining, even though it's not like other Pokmon games in the slightest, but it's simply too short of a gaming experience to recommend buying it. Rent the game a few times at Blockbuster and you'll finish it easily - and do rent it, because for the time that it's new and fresh, Pokmon Snap is a lot of fun.""";;;;;
"93591,""After playing the game for one evening, my husband and I mastered the taking pictures and finding the hidden clues. Now my kids are playing it (aged 5 and 7 years) and just click away the camera. I don't find it too entertaining or challenging. I feel it's just a fad that the kids are going through and i'm sure there are many other N64 games on the market that you should spend your money on. On the Pro side of the game, it does take some skill to try and change the different pokemon's into new pokemons. Trying to figure out how to get some of the sleeping Pokemon to awake or to watch them dance while you play the flute. That is entertaining. My suggestion would be to visit your local video store and rent a version of it before you go out and spend $50. How many times can you take a picture of Picachu?""";;;;;;;;;;;;;;
"94087,""Pokemon Snap is and was America's and Japan's favorite video game among kids. With over 4 million copies sold nationwide, the children are going crazy for Pokemon. This one player game is taking over the children and making them play it over and over. This game is a animated &quot";joy ride&quot; through different theme parks. The objective is it &quot;snap&quot; pictures of these Pokemon. After going through all the levels and &quot;snaping&quot;" pictures of all the Pokemon, the game is over. One good thing about this is the children have a chance to go to Blockbusters Video and turn their best shots into stickers.""";;;;;;;;
"94615,""BOO! I say BOO! One of the worst games ever invented! I finished this game in about an hour and a half to 2 hours! Come on! This was just a marketing scheme for blockbuster, for little kids whom are pokemon fanatics to buy the stickers! I figured it would be getting a little bit harder later on in the game! This game requires no skill what so ever! Half the time you spend playing, is selecting what pictures you want to give to professor &quot";Oak&quot;". so as I said, BOO! 10 thumbs down (even though that's not quite possible) I give it 10 thumbs WAY down""";;;;;;;;;;;;
"100205,""You know how cleaning your room is, right? Well, I'd rather do that then play Pokmon Snap! It is probably one of the most disappointing games I have ever played. I bought it back when Pokmon was still fad. The other Pokmon games were descent and sometimes a bit challenging. I expected this game to be the same. Man, was I wrong! Professor Oak is studying creatures on Pokmon Isle and he needs Todd's (Your) help to complete his research report. You will visit different habitats on the island and take pictures of all the Pokmon living there. When you come back from a trip, choose your favorite pictures and Oak will rate them. Later, take new pictures and try to get better scores on them than the previous ones. There are also hidden monuments shaped like Pokmon. Take pictures of them for extra points. Graphics are about the only high point of Snap. In levels, the pictures are smooth and have a pretty realistic 3D look. Outside of the levels, though, graphics become cheesy. The title screen and level select screen look like they're out of a comic book. Overall, I would give graphics a three out of five. They are ok, but I think the game's producers could have done a better job! Sound and music in Snap is okay, but nothing to write home about. Quality level is really good, but the music is just dumb. The music doesn't even sound Pokmonish, if you know what I mean. Also, Professor Oak only speaks out one thing in the game, """"Welcome back!"""" Now why in the world would you have a character say one line in the entire game and then have the rest of his words displayed in a caption? This game would be a bit better if the characters did talk. As for an overall sound rating, I would have to say two out of five. Game play is fairly simple. In the beginning, there are two controls. As you earn new items, there are three more controls to learn. It's so basic, that you could just pick up your controller and play. There is no need to maneuver because you are on a set of tracks. This leads to one of Snap's major downfalls. Your vehicle, the Zero-One as it's called, will go at a steady pace. At least that's how it seems until you try to set up a Pokmon pose and capture it! By the time you play your flute or throw you pester ball or apple";" there is very little time to take a picture of the Pokmon's reaction. The further you drift away, the worse your picture will be graded, so at times a good photo opportunity is hard to come by. Taking all game play factors into consideration, I give a total rating of 3 out of five, meaning average. Controlling your character is nothing out of the ordinary, but still somewhat easy. No matter what types of games you like, unless you're about 7 years or younger, this game is a no go. As said in the bottom line, """"Don't buy it!!!"""" It?s short, too easy, and somewhat cheesy. In an analogy, I would compare Pokmon Snap to a school project began and finished by a student one hour before it was due. They say a Pokmon Snap Two is scheduled to be release in the future. It will probably be the equivalent of one quarter of a game like Snap One. I know I won't get it. Of course, I wouldn't buy Snap Two anyway because the days of Pokmon are way over, at least for older audiences. Memory:Saved on cartridge""";;;;;;;;;;;;;
"105744,""Pokemon Snap is a good game and I like it. I don't really like pokemon right now, I used to, but I still like that game. You don't have to like pokemon to like this game. All you do in this game is take pictures of pokemon. It helps a little if you know at least some of their names. After you have beaten the game, you can try to get better pictures. You get certain points for different things like centering, pose, how many are in the picture and so on. So if you have some stinky pictures at the end, you could still work on them, this isn't as fun as really playing, but trying to get the best picture is fun. I would recommend this game to anyone from age 4 to age 11.""";;;;;;;;;;;;;;
"124384,""When my fiancee first starting babbling about Pokemon Snap, I just rolled my eyes and sighed. I was thinking &quot";NO! No more Pokemon!&quot;. I had had enough of Pokemon, I had heard too much and seen too much of it! So he bought it and I expected torture. It was really cute at first. I watched my fiancee play, snapping &quot;pictures&quot; of cute little Pokemon, some running, hiding, playing. It was like being in a bizarre world filled with all these strange creatures. So I decided to play. I felt as if I was on a wild safari, and snapping away (it's a little hard at first to aim that &quot;camera&quot;) taking pictures that I thought were great. And I even got a few &quot;great&quot; ones that beat out the best of the best. I was instantly hooked! I love taking pictures in real life and this was just like it, only better, like taking pictures of a new species. And the best part is you can take your game to a Blockbuster and there's a machine there that will print out your &quot;best&quot;" photos out on this little sheets of stickers. The stickers aren't really worth the price you pay for them, but they're cute. =) This is a great game, especially for kids, but good for almost anyone. It does take some skill to get good photos, and at first it can be difficult, but it's all good.""";;;;
"127050,""I consider this a good game, even if there isn't a lot to it. It's fun to play during breaks with other games if nothing else. It has bright graphics and colorful worlds full of pokemon, each simply waiting to be caught on film for your personal collection of poke pictures. The basis of the game is pretty simple";" your basically on an amusement ride with your camera, out to capture all the pokemon you can, and get graded on your efforts, amassing points that help you unlock new parts of the game. You get extra points for centered pokemon, multiple pokemon and any type of unusual activity you can catch them performing. It's simple and fun. And replay is a definite as you can always improve upon your picture collection. Unfortunately, the game only has sixty-three of the pokemon. A bit of a let down in my opinion. Plus the on-rail style game play makes it hard to just sit back and really enjoy the game. It world of been much better as a free moving game. However, these problems don't change my initial attitude toward the game. It's a nice change of pace in gaming, and being able to see (most) of your favorite pokemon right in the wild makes for a good time.""";;;;;;;;;;;;;
