reviewId;Graphics (graphics, resolution,...);sound;Control (controls, keys, …);Shortness of game (length of gameplay, also replay value, or replayability);easy game play (associated with either being nice and cute... ,or boring and childish... );being able to take pictures (photography feature = taking and printing pictures);availability of pokemons ( negatiev = disconsent to not having all of them available,...);multiplayer /singleplayer availability;overall satisfaction
35029;positive;neutral;positive;neutral;positive;positive;negative;neutral;positive
38916;positive;negative;positive;negative;negative;neutral;negative;neutral;negative
50556;neutral;positive;positive;negative;neutral;neutral;neutral;negative;neutral
56623;positive;neutral;neutral;negative;neutral;neutral;negative;neutral;neutral
65877;neutral;neutral;neutral;neutral;positive;positive;neutral;neutral;positive
80128;neutral;neutral;neutral;negative;positive;positive;neutral;neutral;positive
93591;neutral;neutral;neutral;neutral;negative;positive;neutral;neutral;negative
94087;neutral;neutral;neutral;negative;negative;positive;neutral;neutral;neutral
94615;neutral;neutral;neutral;negative;neutral;neutral;neutral;neutral;negative
100205;positive;positive;negative;negative;negative;neutral;neutral;neutral;negative
105744;neutral;neutral;neutral;neutral;negative;positive;neutral;neutral;positive
124384;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
127050;positive;neutral;neutral;neutral;positive;positive;negative;neutral;positive
138595;neutral;neutral;neutral;negative;positive;positive;neutral;neutral;positive
139261;neutral;neutral;neutral;negative;neutral;positive;negative;neutral;positive
140013;positive;neutral;neutral;negative;neutral;positive;neutral;neutral;neutral
142378;neutral;neutral;neutral;negative;negative;negative;neutral;neutral;negative
152402;neutral;neutral;neutral;neutral;neutral;negative;neutral;neutral;negative
153558;neutral;neutral;negative;neutral;positive;positive;neutral;neutral;positive
153868;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
156005;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
170023;neutral;neutral;neutral;neutral;neutral;negative;neutral;neutral;positive
171948;neutral;neutral;neutral;neutral;positive;neutral;positive;neutral;negative
174314;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;negative
176725;neutral;neutral;neutral;negative;neutral;negative;negative;neutral;negative
180860;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
181037;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
197172;neutral;neutral;neutral;negative;neutral;neutral;negative;neutral;neutral
199527;positive;positive;positive;neutral;neutral;neutral;negative;neutral;neutral
206748;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
207552;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;negative
210971;positive;positive;positive;neutral;positive;positive;neutral;neutral;neutral
214320;positive;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral
215850;neutral;neutral;neutral;negative;neutral;neutral;neutral;neutral;positive
217410;neutral;neutral;neutral;neutral;positive;positive;neutral;neutral;positive
219418;negative;negative;negative;neutral;neutral;positive;neutral;neutral;negative
220207;positive;neutral;negative;negative;negative;neutral;neutral;neutral;negative
231831;positive;positive;positive;neutral;neutral;neutral;negative;neutral;negative
239150;positive;neutral;neutral;negative;neutral;neutral;negative;neutral;negative
242782;neutral;neutral;neutral;neutral;neutral;negative;neutral;neutral;negative
243127;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
243196;positive;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
244986;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
247664;neutral;neutral;neutral;negative;negative;negative;neutral;neutral;negative
254370;neutral;neutral;neutral;neutral;neutral;neutral;negative;neutral;positive
264874;neutral;neutral;neutral;neutral;neutral;positive;neutral;negative;positive
269525;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;neutral
270418;neutral;neutral;neutral;negative;neutral;neutral;negative;neutral;neutral
282805;neutral;neutral;neutral;negative;negative;neutral;neutral;neutral;neutral
285446;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
286456;positive;neutral;positive;neutral;neutral;positive;neutral;neutral;positive
291900;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
299658;positive;neutral;neutral;negative;negative;positive;neutral;neutral;positive
306168;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
312446;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
313287;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;negative
316286;neutral;negative;neutral;neutral;neutral;negative;neutral;neutral;negative
319004;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
320014;positive;positive;negative;neutral;neutral;negative;neutral;neutral;negative
320073;neutral;neutral;positive;negative;positive;neutral;positive;neutral;positive
324014;positive;neutral;positive;neutral;neutral;neutral;neutral;neutral;positive
339384;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
341053;negative;neutral;positive;neutral;positive;negative;negative;neutral;positive
344045;neutral;neutral;neutral;neutral;negative;neutral;neutral;neutral;negative
355066;positive;positive;positive;neutral;positive;positive;neutral;neutral;positive
357018;positive;neutral;neutral;neutral;neutral;negative;neutral;neutral;negative
364919;positive;neutral;neutral;positive;positive;positive;negative;neutral;positive
368613;neutral;neutral;positive;neutral;neutral;positive;negative;neutral;positive
372654;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
377412;positive;negative;negative;neutral;negative;negative;neutral;neutral;negative
377795;positive;neutral;neutral;negative;neutral;negative;neutral;neutral;positive
379047;positive;neutral;neutral;negative;negative;negative;negative;neutral;negative
381038;neutral;neutral;neutral;neutral;negative;negative;neutral;neutral;negative
384541;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;negative
385976;neutral;neutral;neutral;negative;neutral;neutral;neutral;neutral;negative
387266;negative;neutral;neutral;neutral;neutral;neutral;negative;neutral;positive
394715;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
401224;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;negative
401288;neutral;neutral;neutral;neutral;neutral;positive;negative;neutral;positive
402903;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
406009;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
408444;neutral;neutral;neutral;negative;neutral;positive;negative;neutral;positive
420557;neutral;neutral;neutral;neutral;positive;positive;neutral;neutral;positive
421039;neutral;neutral;neutral;neutral;neutral;negative;neutral;neutral;negative
424385;neutral;neutral;negative;neutral;negative;neutral;neutral;neutral;neutral
424708;neutral;neutral;neutral;negative;neutral;positive;neutral;neutral;negative
427032;neutral;neutral;neutral;neutral;negative;negative;neutral;neutral;neutral
434416;neutral;neutral;neutral;neutral;neutral;negative;neutral;neutral;negative
436980;neutral;negative;neutral;neutral;negative;positive;neutral;neutral;negative
443770;neutral;positive;neutral;neutral;negative;positive;neutral;neutral;positive
446044;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;negative
450364;neutral;neutral;neutral;neutral;neutral;negative;neutral;neutral;negative
450916;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;positive
451173;positive;neutral;neutral;neutral;negative;positive;neutral;neutral;positive
453074;neutral;neutral;neutral;neutral;neutral;positive;negative;neutral;neutral
454835;positive;positive;neutral;neutral;neutral;neutral;neutral;neutral;positive
456992;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;neutral
457590;positive;negative;positive;neutral;negative;neutral;neutral;neutral;neutral
458930;neutral;neutral;neutral;negative;negative;neutral;neutral;neutral;positive
462584;neutral;neutral;neutral;neutral;neutral;neutral;neutral;neutral;positive
463216;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;neutral
463238;neutral;neutral;neutral;neutral;neutral;positive;neutral;neutral;neutral
463506;neutral;neutral;neutral;positive;positive;positive;negative;neutral;positive
